অ,au
আ,aa
ই,e
ঈ,ee
উ,u
ঊ,uu
ঋ,ri
এ,a
ঐ,oi
ও,o
ঔ,ou
ক,ka
খ,kha
গ,ga
ঘ,gha
ঙ,umo
চ,cha
ছ,chha
জ,ja
ঝ,jha
ঞ,yo
ট,ta
ঠ,tha
ড,da
ঢ,dha
ণ,na
ত,ta
থ,tha
দ,da
ধ,dha
ন,na
প,pa
ফ,fa
ব,ba
ভ,va
ম,ma
য,ja
র,ra
ল,la
ব,ba
শ,talobbo sha
ষ,murdhonno sha
স,danta sha
হ,ha
য়,ya
ং,onusshar
ঁ,chandrabindu
ঃ,bisarga
ক্ষ,khiyo
