আমি,I
তুমি,You
সে,"He (Male), She (Female)"
স্বাগতম,Welcome
ভালো,Good
খারাপ,Bad
দেশ,Country
সূর্য,Sun
শহর,City
সমুদ্র,Sea
খাওয়া,Eat
ঘুম,Sleep
খেলা,Game
ভাত,Rice
মাছ,Fish
মাংস,Meat
সবজি,Vegetable
ফল,Fruit
তাপমাত্রা,Temperature
মাটি,Soil
পাহাড়,Hill
রান্না,Cook
চাবি,Key
পোশাক,Dress
ছেলে,Boy
মেয়ে,Girl
পুরুষ,Man
মহিলা,Woman
বাচ্চা,Kid
খরচ,Cost
কেনা,Buy
ধন্যবাদ,Thank you
