আমি,I
তুমি,You
সে,"He (Male), She (Female)"
ভাল,Good
খারাপ,Bad
সূর্য,Sun
শহর,City
খাওয়া,Eat
ঘুম,Sleep
খেলা,Game
ভাত,Rice
মাছ,Fish
মাংস,Meat
সবজি,Vegetable
ফল,Fruit
চাবি,Key
স্বাগতম,Welcome
সাগর,Sea
মাটি,Soil
পাহাড়,Hill
রান্না,Cook
খরচ,Cost
কেনা,Buy
আদাব,Greetings
ধন্যবাদ, Thank You
বিপদ, Danger
